Tool	Platform	Code	Description	License	Added	Updated
scAI	R/MATLAB	https://github.com/sqjin/scAI	scAI: a single cell Aggregation and Integration method for analyzing single cell multi-omics data	GPL-3.0	2020-02-20	2020-02-20
scAIDE	Python/R	https://github.com/tinglabs/scAIDE	scAIDE is an unsupervised clustering framework for single-cell RNA-seq data	NA	2020-10-27	2020-10-27
scAL	Python	https://github.com/xianglin226/scAL	An active learning approach for clustering single-cell RNA-seq data	Apache-2.0	2021-07-16	2021-07-16
SCALE	R	https://github.com/yuchaojiang/SCALE	Allele-Specific Expression by Single-Cell RNA Sequencing	GPL-3.0	2017-02-23	2018-03-14
SCALEX	Python	https://github.com/jsxlei/SCALEX	SCALEX: Construction of continuously expandable single-cell atlases through integration of heterogeneous datasets in a generalized cell-embedding space	MIT	2021-04-16	2021-04-16
scAlign	Python/R	https://github.com/quon-titative-biology/scAlign	A deep learning method for aligning and integrating scRNA-seq data collected across multiple conditions into a common, low-dimensional cell state space for downstream analysis	GPL-3.0	2019-01-25	2021-06-28
scAllele	Python	https://github.com/gxiaolab/scAllele	scAllele is a versatile tool to detect and analyze nucleotide variants in scRNA-seq	MIT	2022-04-08	2022-04-08
scAlleleCount	Python/R	https://github.com/barkasn/scAlleleCount	Calculate allele-specific count tables	NA	2019-02-01	2019-02-01
Scallop2	C++	https://github.com/Shao-Group/scallop2	Scallop2 is a reference-based transcript assembler specifically optimized for paired-/multiple-end RNA-seq data	BSD-3-Clause	2022-04-01	2022-04-01
scAMACE	R	https://github.com/cuhklinlab/scAMACE	scAMACE (integrative Analysis of single-cell Methylation, chromatin ACcessibility, and gene Expression)	LGPL-3.0	2021-04-05	2021-04-05
scAMACE_py	Python	https://github.com/cuhklinlab/scAMACE_py	Python implementation (both CPU and GPU version) to a model-based approach to the joint analysis of single-cell data on chromatin accessibility, gene expression and methylation	MIT	2021-04-05	2021-04-05
scAmpi	Snakemake	https://github.com/ETH-NEXUS/scAmpi_single_cell_RNA	scAmpi includes general scRNA processing steps, such as mapping, QC, normalisation, unsupervised clustering, cell type classification, and DE analysis, as well as search for disease relevant target genes	GPL-3.0	2021-04-05	2021-04-05
scAnCluster	Python	https://github.com/xuebaliang/scAnCluster	A deep leanring based clustering and annotation algorithm for scRNASeq data	NA	2020-08-06	2020-08-06
scAnnotatR	R	https://github.com/grisslab/scAnnotatR	The scAnnotatR package automatically classifies cells in scRNA-seq datasets	MIT	2021-11-05	2022-02-04
scanorama	Python	https://github.com/brianhie/scanorama	Scanorama enables batch-correction and integration of heterogeneous scRNA-seq datasets	MIT	2018-07-21	2019-05-07
Scanpy	Python	https://github.com/theislab/scanpy	Scanpy is a scalable toolkit for analyzing single-cell gene expression data.	BSD-3-Clause	2017-05-21	2019-03-25
scAPA	R	https://github.com/ElkonLab/scAPA	This is a package and a shell script for alternative polyadenylation (APA) analysis of 3' tag single-cell RNA-seq data.	BSD-3-Clause	2019-09-17	2019-09-17
scAPAtrap	R	https://github.com/BMILAB/scAPAtrap	Identification and quantification of alternative polyadenylation sites from single-cell RNA-seq data	AGPL-3.0	2020-11-08	2020-11-08
SCAPE	Python	https://github.com/LuChenLab/SCAPE	SCAPE is a tool for estimating alternative polyadenylation (APA) events from single-end or pair-end scRNA-seq data	MIT	2022-03-25	2022-03-25
SCAPTURE	Shell/Python/R	https://github.com/YangLab/SCAPTURE	A deep learning-embedded pipeline that captures polyadenylation information from 3 prime tag-based RNA-seq of single cells	Custom	2021-03-26	2021-08-11
scAR	Python	https://github.com/CaibinSh/scAR	scAR (single cell Ambient Remover) is a package for denoising multiple single cell omics data	MIT	2022-02-18	2022-02-18
scArches	Python	https://github.com/theislab/scarches	scArches is a package to integrate newly produced single-cell datasets into integrated reference atlases	BSD-3-Clause	2021-09-03	2022-02-11
scarf	Python	https://github.com/parashardhapola/scarf	Scarf is a Python package to performs memory efficient analysis of single-cell genomics data	BSD-3-Clause	2021-05-07	2021-07-27
scasa	R/Perl	https://github.com/eudoraleer/scasa	Scasa is a single cell transcript quantification tool tailored for single cell RNA-Sequencing data	GPL-3.0	2021-12-10	2021-12-10
scASK	MATLAB	https://github.com/liubo2358/scASKcmd	scASK is a novel and robust ensemble framework that is especially suited for cell type classification based on scRNA-seq data	NA	2020-06-16	2021-01-22
Scater	R	https://github.com/davismcc/scater	A collection of tools for various analyses of single-cell RNA-seq data with a focus on quality control and visualisation	GPL-2.0-or-later	2016-09-08	2020-10-30
SCATrEx	Python	https://github.com/cbg-ethz/SCATrEx	Map single-cell transcriptomes to copy number evolutionary trees	GPL-3.0	2021-11-05	2021-11-12
SCATS	Python/Perl	https://github.com/huyustats/SCATS	A statistical tool to detect differential alternative splicing events using single-cell RNA-seq	NA	2019-08-26	2020-06-16
scatterHatch	R	https://github.com/FertigLab/scatterHatch	The goal of scatterHatch is to create scatter plots that visually distinguish groups of data using color and texture in sparse or dense datasets.	MIT	2021-10-08	2021-10-29
SCATTome	R	https://github.com/bvnlab/SCATTome	SCATTome (Single Cell Analysis of Targeted Transcriptome) predicts a drug response per cell using qRT-PCR data.	GPL-3.0	2021-01-25	2021-01-25
scBASE	Python/Stan	https://github.com/churchill-lab/scBASE	scBASE is a python implementation of three-component Beta-Binomial mixture model for accurate quantitation of allele-specific expression (ASE) from scRNA-Seq data.	MIT	2018-08-10	2019-11-27
scBatch	R/C++	https://github.com/tengfei-emory/scBatch	Batch Effect Correction of RNA-seq Data through Sample Distance Matrix Adjustment	GPL-3.0-or-later	2019-06-20	2020-02-21
scbean	Python	https://github.com/jhu99/scbean	Scbean integrates a range of models for single-cell data analysis, including dimensionality reduction, remvoing batch effects, and transferring well-annotated cell type labels from scRNA-seq to scATAC-seq and spatial resoved transcriptomics	MIT	2021-04-12	2021-10-02
scBio	R	NA	scBio: Single Cell Genomics for Enhancing Cell Composition Inference from Bulk Genomics Data	GPL-2.0	2019-03-25	2019-03-25
scBonita	Python	https://github.com/Thakar-Lab/scBONITA	scBonita: single-cell Boolean Omics Network Invariant Time Analysis	MIT	2022-03-18	2022-03-18
scBT	R	https://github.com/satabdisaha1288/scBT	This package implements a new Bayesian test for detecting differential gene expression over multiple dose groups in single cell gene expression studies	NA	2021-09-17	2022-03-04
SCC	R	https://github.com/nwpuzhengyan/SCC	scRNA-seq complementation (SCC) can recover the gene expression of scRNA-seq data	NA	2020-02-21	2020-02-21
scCAEs	Python	https://github.com/gushenweiz/scCAEs	ScCAEs first learned the nonlinear mapping from original scRNA-seq to low-dimensional features through a convolutional autoencoder, and then iteratively completed cell clustering through the regularized soft Kmeans algorithm with KL divergence	NA	2021-09-10	2021-09-10
SCCAF	Python	https://github.com/SCCAF/sccaf	Single Cell Clustering Assessment Framework (SCCAF) is a novel method for automated identification of putative cell types from single cell RNA-seq (scRNA-seq) data	MIT	2020-04-28	2020-05-29
scCAN	R	https://github.com/cran/scCAN	scCAN is a R software package that can perform unsupervised clustering for single-cell RNA sequencing (scRNA-seq) data	LPL-1.0	2021-07-16	2021-07-16
scCancer	R	https://github.com/wguo-research/scCancer	The scCancer package focuses on processing and analyzing droplet-based scRNA-seq data for cancer research. Except basic data processing steps, this package takes several special considerations for cancer-specific features.	GPL-3.0	2019-10-30	2019-10-30
scCaps	Python	https://github.com/wanglf19/scCaps	An interpretable deep-learning architecture of capsule networks for identifying cellular-type gene expression programs from single-cell RNA-seq data	NA	2020-11-08	2020-11-08
scCATCH	R	https://github.com/ZJUFanLab/scCATCH	Automatic Annotation on Cell Types of Clusters from Single-Cell RNA Sequencing Data	GPL-3.0	2020-04-29	2022-01-14
scCB2	R	https://github.com/zijianni/scCB2	CB2 is a cluster-based approach for distinguishing true cells from background barcodes in droplet-based single cell RNA-seq experiments	GPL-3.0	2019-11-12	2020-10-30
scCCESS	R	https://github.com/gedcom/scCCESS	single-cell Consensus Clusters of Encoded Subspaces	NA	2020-04-29	2020-04-29
scClassifR	R	https://github.com/grisslab/scClassifR	The scClassifR package automatically classifies cells in scRNA-seq datasets	MIT	2021-01-08	2021-05-21
scClassify	R	https://github.com/SydneyBioX/scClassify	Single cell classification via cell-type hierarchies based on ensemble learning and sample size estimation.	GPL-3.0	2019-09-30	2020-07-03
scCLUE	R	https://github.com/jeonglab/scCLUE	single cell CLUstering through Ensemble feature selection and similarity measurements	NA	2020-05-22	2020-05-22
scClustBench	R/C++	https://github.com/taiyunkim/scClustBench	Perform clustering on single-cell RNA-sequencing data with different similarity metrics on k-means and SIMLR clustering methods.	NA	2018-08-31	2018-08-31
scclusteval	R	https://github.com/crazyhottommy/scclusteval	The goal of scclusteval (Single Cell Cluster Evaluation) is to evaluate single cell clustering stability by boostrapping/subsampling cells and providing visualization methods for comparing clusters.	MIT	2019-02-11	2020-06-05
scClustViz	R	https://github.com/BaderLab/scClustViz	An interactive R Shiny tool for visualizing single-cell RNAseq clustering results from the Seurat R package or any other analysis pipeline.	MIT	2018-07-27	2018-10-03
scCODA	Python	https://github.com/theislab/scCODA	scCODA allows for identification of compositional changes in high-throughput sequencing count data, especially cell compositions from scRNA-seq	BSD-3-Clause	2021-01-08	2021-11-27
scCODE	R	https://github.com/XZouProjects/scCODE	scCODE (Consensus Optimization of Differentially Expressed gene detection for single cell)	MIT	2021-11-27	2021-11-27
sccomp	R/Stan	https://github.com/stemangiola/sccomp	Outlier-aware and count-based compositional analysis of single-cell data	GPL-3.0	2022-03-11	2022-03-11
scConnect	Python	https://github.com/JonETJakobsson/scConnect	scConnect: Like Tinder but for single cells	MIT	2021-05-21	2021-05-21
scConsensus	R	https://github.com/prabhakarlab/scConsensus	An approach combining semi-supervised and unsupervised clustering for cell type annotation in single-cell RNA-seq data	MIT	2020-04-28	2020-04-28
scCorr	R	https://github.com/CBIIT-CGBB/scCorr	A graph-based k-partitioning approach for single-cell gene-gene correlation analysis	GPL-2.0	2021-03-12	2022-01-14
scCustomize	R	https://github.com/samuel-marsh/scCustomize	scCustomize is a collection of functions created and/or curated to aid in the visualization and analysis of single-cell data using R	GPL-3.0	2021-11-20	2021-11-20
scDA	MATLAB/C/Python	https://github.com/ZCCQQWork/scDA	Single cell discriminant analysis (scDA) simultaneously identifies cell groups and discriminant metagenes based on the construction of cell-by-cell representation graph and then uses them to annotate unlabeled cells	NA	2021-06-04	2021-06-04
scDALI	Python	https://github.com/PMBio/scdali	scDALI (single-cell differential allelic imbalance) is a statistical model and analysis framework that leverages allele-specific analyses of single-cell data to decode cell-state-specific genetic regulation	BSD-3-Clause	2022-01-14	2022-01-14
scDAPA	Shell/R	https://sourceforge.net/projects/scdapa/	scDAPA - a tool for detection and visualization of dynamic alternative polyadenylation from scRNA-seq dataq	GPL-1.0	2019-09-17	2019-09-17
scDaPars	R	https://github.com/YiPeng-Gao/scDaPars	scDaPars is a bioinformatics algorithm to accurately quantify Alternative Polyadenylation (APA) events at both single-cell and single-gene resolution using standard scRNA-seq data	NA	2021-06-04	2021-06-04
scDART	Python	https://github.com/PeterZZQ/scDART	scDART (single cell Deep learning model for ATAC-Seq and RNA-Seq Trajectory integration) is a scalable deep learning framework that embed the two data modalities of single cells, scRNA-seq and scATAC-seq data, into a shared low-dimensional latent space while preserving cell trajectory structures	GPL-3.0	2021-04-23	2021-04-23
scDataviz	R	https://github.com/kevinblighe/scDataviz	scDataviz: single cell dataviz and downstream analyses	GPL-3.0	2020-02-21	2020-10-30
scDblFinder	R	https://github.com/plger/scDblFinder	Gathers various methods for the detection and handling of doublets/multiplets in single-cell RNA sequencing data	GPL-3.0	2020-09-10	2021-10-02
scDBM	Julia	https://github.com/MTreppner/scDBM.jl	Synthetic Single-Cell RNA-Sequencing Data from Small Pilot Studies using Deep Generative Models	MIT	2021-05-07	2021-05-07
scDCC	Python	https://github.com/ttgump/scDCC	Single Cell Deep Constrained Clustering	Apache-2.0	2021-04-05	2021-04-05
scDD	R	https://github.com/kdkorthauer/scDD	scDD (Single-Cell Differential Distributions) is a framework to identify genes with different expression patterns between biological groups of interest. In addition to traditional differential expression, it can detect differences that are more complex and subtle than a mean shift.	GPL-2.0	2016-09-08	2018-03-14
